song_id,song_name,popularity,duration,track_number,song_url
3GdN5n6p34yFMd12WKq8jL,Penyangkalan,73,4.010116666666667,1,https://open.spotify.com/track/3GdN5n6p34yFMd12WKq8jL
33UIshRVxXEBzITjCzo6al,Sadrah,69,4.116783333333333,1,https://open.spotify.com/track/33UIshRVxXEBzITjCzo6al
0Efmh8yhqenqZ6WohgLxR5,Pulang,64,4.565333333333333,8,https://open.spotify.com/track/0Efmh8yhqenqZ6WohgLxR5
20RyUmtp32IZ52AqGH2B01,Ada Selamanya,62,3.3652166666666665,1,https://open.spotify.com/track/20RyUmtp32IZ52AqGH2B01
7xETTGfeFIDCbCGX20YhR5,Jentaka,58,4.133333333333334,3,https://open.spotify.com/track/7xETTGfeFIDCbCGX20YhR5
4HNAVQRqIWIm6T1r4P2317,Untuk Siapa?,57,3.1666666666666665,6,https://open.spotify.com/track/4HNAVQRqIWIm6T1r4P2317
4EYK0suibSo3Fl7RawPChQ,Jeda,57,3.966666666666667,4,https://open.spotify.com/track/4EYK0suibSo3Fl7RawPChQ
11JHhRhXGfct6c41wYbKti,Semula,55,3.9471666666666665,1,https://open.spotify.com/track/11JHhRhXGfct6c41wYbKti
5MIpcd16T59wFeqAChSYwC,Duka,79,5.419116666666667,1,https://open.spotify.com/track/5MIpcd16T59wFeqAChSYwC
0fiKmieZ6xzoolzNOC3Fxi,Sekuat Hatimu,74,4.729333333333333,5,https://open.spotify.com/track/0fiKmieZ6xzoolzNOC3Fxi
2vzpoecVhBE1pKtHzKONaN,Seluruh Nafas Ini,73,4.872283333333334,3,https://open.spotify.com/track/2vzpoecVhBE1pKtHzKONaN
4HPxh6IkRxCkb3T06Pltch,Diary Depresiku,72,5.2941666666666665,2,https://open.spotify.com/track/4HPxh6IkRxCkb3T06Pltch
1imyB3ufkQTtOnD2PYUSuu,Bernafas Tanpamu,71,4.933216666666667,5,https://open.spotify.com/track/1imyB3ufkQTtOnD2PYUSuu
3z2Kcl9Oz1IxSgVoKN6RXo,Tak Pernah Ternilai,67,4.21705,1,https://open.spotify.com/track/3z2Kcl9Oz1IxSgVoKN6RXo
5xtZ0Zz2J2ugaO6w6yC48w,Pedih,63,4.63675,7,https://open.spotify.com/track/5xtZ0Zz2J2ugaO6w6yC48w
1Fi8jAQk4oVQKv2j7TPSz5,Saat Saat Itu,63,3.10015,1,https://open.spotify.com/track/1Fi8jAQk4oVQKv2j7TPSz5
47fft3IJn3KKpC1nrJnOBg,Percayalah - New,59,3.7599,4,https://open.spotify.com/track/47fft3IJn3KKpC1nrJnOBg
3V38fhMHZvF8blUSepXWcn,Lagu Terakhir Untukmu,59,3.4869166666666667,5,https://open.spotify.com/track/3V38fhMHZvF8blUSepXWcn
630DpnzdfjdVqv2yLfPbAX,Bertaut,78,5.266,6,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
3ymuBMTviroWLuf1jMsMVf,Sorai,72,4.638883333333333,1,https://open.spotify.com/track/3ymuBMTviroWLuf1jMsMVf
4rcuS31IcZynp91dqvmhmA,Semua Aku Dirayakan,70,5.177083333333333,5,https://open.spotify.com/track/4rcuS31IcZynp91dqvmhmA
0zAtj0BEvpulETGrk95NPQ,Rayuan Perempuan Gila,69,5.333333333333333,3,https://open.spotify.com/track/0zAtj0BEvpulETGrk95NPQ
3FPlY1uqTe1oFfIgI0BnoA,Beranjak Dewasa,68,4.960283333333333,5,https://open.spotify.com/track/3FPlY1uqTe1oFfIgI0BnoA
1q1dsfckKMgjfr8DfdeKfs,Amin Paling Serius,66,5.0633333333333335,8,https://open.spotify.com/track/1q1dsfckKMgjfr8DfdeKfs
1tqPw8Hf88h24Bpt2SzuYE,Di Akhir Perang,66,3.9702333333333333,7,https://open.spotify.com/track/1tqPw8Hf88h24Bpt2SzuYE
6Dh1zHQjEaOp29VW9pp3xG,Taruh,65,4.164866666666667,7,https://open.spotify.com/track/6Dh1zHQjEaOp29VW9pp3xG
04IXeEjiQ4kdS7JJF9pjxT,Kekal,63,4.6738,6,https://open.spotify.com/track/04IXeEjiQ4kdS7JJF9pjxT
75OokMC3JzPnRNXcLTAKdr,Mendarah,62,4.039383333333333,9,https://open.spotify.com/track/75OokMC3JzPnRNXcLTAKdr
3FwQ3RYYEekzjEeL3jdpUZ,Pesan Terakhir,79,4.354983333333333,8,https://open.spotify.com/track/3FwQ3RYYEekzjEeL3jdpUZ
66L6oBm77vpXuLCRX31iNX,Tak Dianggap,70,2.99735,2,https://open.spotify.com/track/66L6oBm77vpXuLCRX31iNX
3zmN19fLAcKeDaajrIdWLB,Terlalu Cinta,73,4.317333333333333,1,https://open.spotify.com/track/3zmN19fLAcKeDaajrIdWLB
778yZPIEqLgL4qSi2zUh9F,Tak Selalu Memiliki - Ipar Adalah Maut Original Soundtrack,67,4.34285,1,https://open.spotify.com/track/778yZPIEqLgL4qSi2zUh9F
1jKyWssDMP83VtugbwCJ6g,Malu Malu Tapi Nyaman,69,3.6657166666666665,3,https://open.spotify.com/track/1jKyWssDMP83VtugbwCJ6g
29lBFGkfr7EoJlb3lxi9Ij,Menyesal,65,3.3909,1,https://open.spotify.com/track/29lBFGkfr7EoJlb3lxi9Ij
0hWOTHNAqqE5IsEAeylbqf,Sang Dewi,57,4.133216666666667,6,https://open.spotify.com/track/0hWOTHNAqqE5IsEAeylbqf
2bRNul3hyw1PSb7HoYLVPY,Sampaikan Rindu,64,4.463766666666666,7,https://open.spotify.com/track/2bRNul3hyw1PSb7HoYLVPY
0DjsS2osWXl1k3O1E96YHd,Ego,56,4.569216666666667,5,https://open.spotify.com/track/0DjsS2osWXl1k3O1E96YHd
483I1QLE05iH81ReYgF2BK,Ada,59,3.51335,1,https://open.spotify.com/track/483I1QLE05iH81ReYgF2BK
1AoBdDIOp6RFjAbzcPbWi8,Janji Setia,76,4.35,7,https://open.spotify.com/track/1AoBdDIOp6RFjAbzcPbWi8
3nHxZEe1dT7zs73DG6pNll,Usai,71,3.62,1,https://open.spotify.com/track/3nHxZEe1dT7zs73DG6pNll
6L1jkVbb331DNvK89C3L8u,Masih Hatiku,71,4.37235,1,https://open.spotify.com/track/6L1jkVbb331DNvK89C3L8u
1PuhA9UXgH4wRnXzYk5S2Z,Kupu - Kupu,71,4.034833333333333,1,https://open.spotify.com/track/1PuhA9UXgH4wRnXzYk5S2Z
3Ysf0Y3iu23mrDsVh1mdu0,Merasa Indah,69,3.6708333333333334,4,https://open.spotify.com/track/3Ysf0Y3iu23mrDsVh1mdu0
53fKDMfQhWMSw7QKVDOTBP,Cintanya Aku,68,3.902083333333333,1,https://open.spotify.com/track/53fKDMfQhWMSw7QKVDOTBP
4b3k28lrqT1YxyV6z6qEpe,Bukan Untukku,66,3.8813333333333335,1,https://open.spotify.com/track/4b3k28lrqT1YxyV6z6qEpe
3diRmt2Z6xSEaT0mqBr681,Lagu Pernikahan Kita,63,4.357933333333333,1,https://open.spotify.com/track/3diRmt2Z6xSEaT0mqBr681
3tri5XrdkhTT8dXPhWXZDa,Cantik,62,4.014366666666667,3,https://open.spotify.com/track/3tri5XrdkhTT8dXPhWXZDa
21acb66djKRlDPJOXRBCkc,Take A Chance With Me,76,5.06555,12,https://open.spotify.com/track/21acb66djKRlDPJOXRBCkc
4x2PkqSLtuwv53hLqq4GiY,Backburner,74,3.9422166666666665,3,https://open.spotify.com/track/4x2PkqSLtuwv53hLqq4GiY
7ipqVwkp2MhZv0Ojzqy1NV,lowkey,74,2.855916666666667,1,https://open.spotify.com/track/7ipqVwkp2MhZv0Ojzqy1NV
68HocO7fx9z0MgDU0ZPHro,Every Summertime,74,3.5947666666666667,1,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
0e2wfbDK7ppotqyUWD7qs8,La La Lost You - Acoustic Version,73,3.4751666666666665,1,https://open.spotify.com/track/0e2wfbDK7ppotqyUWD7qs8
0XZW4ZKXOwo9kCyDpXGNc7,Oceans & Engines,73,5.6,10,https://open.spotify.com/track/0XZW4ZKXOwo9kCyDpXGNc7
2uOEendbLHR18khIbwooJ1,The Apartment We Won't Share,68,2.497333333333333,5,https://open.spotify.com/track/2uOEendbLHR18khIbwooJ1
0W5o1Kxw1VlohSajPqeBMF,Autumn,68,3.88,9,https://open.spotify.com/track/0W5o1Kxw1VlohSajPqeBMF
1PASE7Ext8mjvfNE6UtApD,Did You Like Her In The Morning?,60,3.6211,5,https://open.spotify.com/track/1PASE7Ext8mjvfNE6UtApD
6fNQDsCq6LWfwTZnXl2Xsg,High School in Jakarta,66,3.6506666666666665,2,https://open.spotify.com/track/6fNQDsCq6LWfwTZnXl2Xsg
3ZyMRe0jlSqffPBMeHUZFX,Kangen,69,5.008533333333333,8,https://open.spotify.com/track/3ZyMRe0jlSqffPBMeHUZFX
5JESuE80fvausWHjcT9QVh,Aku Milikmu,70,5.54555,1,https://open.spotify.com/track/5JESuE80fvausWHjcT9QVh
6JusI70TeT9M2O1MXyXRRv,Separuh Nafas,67,3.700483333333333,11,https://open.spotify.com/track/6JusI70TeT9M2O1MXyXRRv
0MYAQRR7ZIIE1QD0rFgcMI,Risalah Hati,66,5.7647,1,https://open.spotify.com/track/0MYAQRR7ZIIE1QD0rFgcMI
2zcPAFEc7mhULI9PZMBWUx,Dewi,63,4.35605,9,https://open.spotify.com/track/2zcPAFEc7mhULI9PZMBWUx
35E6odHU6yHAN0harHjemH,Roman Picisan,61,4.0836,10,https://open.spotify.com/track/35E6odHU6yHAN0harHjemH
6MwIBSBiAMGomp4I80Xkgw,Cinta 'Kan Membawamu Kembali,62,4.322216666666667,6,https://open.spotify.com/track/6MwIBSBiAMGomp4I80Xkgw
112PgZaSiXk8Mqem2Krgtq,Selimut Hati,60,4.654816666666667,7,https://open.spotify.com/track/112PgZaSiXk8Mqem2Krgtq
3PHc0M7QXIwPUDnZ9dBVCu,Aku Cinta Kau Dan Dia,60,4.720233333333334,1,https://open.spotify.com/track/3PHc0M7QXIwPUDnZ9dBVCu
2uBmcHPBZtskiCQhCgmSs0,Larut,58,4.133916666666667,3,https://open.spotify.com/track/2uBmcHPBZtskiCQhCgmSs0
0daEJMXc3b4ZMTnvtHpuTt,Nina,74,4.6324,8,https://open.spotify.com/track/0daEJMXc3b4ZMTnvtHpuTt
4YxEeCKhUl1DawPzsxCPbq,Peradaban,68,5.65,1,https://open.spotify.com/track/4YxEeCKhUl1DawPzsxCPbq
4XHijJfABTtUCW3Bp6KFvr,Tarot,66,4.81635,12,https://open.spotify.com/track/4XHijJfABTtUCW3Bp6KFvr
